,minSpeed_action,maxSpeed_action,flick_time,flick_pitch,jump1_pitch,jump1_time,jump2_pitch,jump2_time,iteration,params,result
1,,,,,,,,,38.0,"{'minSpeed_action': 350, 'maxSpeed_action': 400, 'flick_time': 0.35, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.25, 'jump2_pitch': -1.0, 'jump2_time': 0.02}",FAIL: Timeout
0,0.0,450.0,0.15,-0.33333333333333337,0.33333333333333326,0.05,1.0,0.12000000000000001,,,
1,,,,,,,,,39.0,"{'minSpeed_action': 700, 'maxSpeed_action': 950, 'flick_time': 0.55, 'flick_pitch': -0.33333333333333337, 'jump1_pitch': 1.0, 'jump1_time': 0.15000000000000002, 'jump2_pitch': -1.0, 'jump2_time': 0.02}",FAIL: NoTouch
0,700.0,1150.0,0.15,-1.0,0.33333333333333326,0.25,-0.33333333333333337,0.02,,,
1,,,,,,,,,40.0,"{'minSpeed_action': 0, 'maxSpeed_action': 450, 'flick_time': 0.15, 'flick_pitch': -0.33333333333333337, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.05, 'jump2_pitch': 1.0, 'jump2_time': 0.12000000000000001}",FAIL: NoTouch
0,350.0,400.0,0.35,1.0,1.0,0.15000000000000002,-1.0,0.12000000000000001,,,
1,,,,,,,,,41.0,"{'minSpeed_action': 700, 'maxSpeed_action': 1150, 'flick_time': 0.15, 'flick_pitch': -1.0, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.25, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.02}",FAIL: Timeout
0,0.0,50.0,0.15,1.0,-0.33333333333333337,0.15000000000000002,-1.0,0.12000000000000001,,,
1,,,,,,,,,42.0,"{'minSpeed_action': 350, 'maxSpeed_action': 400, 'flick_time': 0.35, 'flick_pitch': 1.0, 'jump1_pitch': 1.0, 'jump1_time': 0.15000000000000002, 'jump2_pitch': -1.0, 'jump2_time': 0.12000000000000001}",FAIL: Timeout
0,350.0,400.0,0.15,0.33333333333333326,0.33333333333333326,0.05,1.0,0.22,,,
1,,,,,,,,,43.0,"{'minSpeed_action': 0, 'maxSpeed_action': 50, 'flick_time': 0.15, 'flick_pitch': 1.0, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.15000000000000002, 'jump2_pitch': -1.0, 'jump2_time': 0.12000000000000001}",FAIL: NoTouch
0,0.0,250.0,0.15,-0.33333333333333337,0.33333333333333326,0.25,1.0,0.22,,,
1,,,,,,,,,44.0,"{'minSpeed_action': 350, 'maxSpeed_action': 400, 'flick_time': 0.15, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.05, 'jump2_pitch': 1.0, 'jump2_time': 0.22}",FAIL: NoTouch
0,700.0,750.0,0.35,-1.0,-0.33333333333333337,0.05,-0.33333333333333337,0.22,,,
1,,,,,,,,,45.0,"{'minSpeed_action': 0, 'maxSpeed_action': 250, 'flick_time': 0.15, 'flick_pitch': -0.33333333333333337, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.25, 'jump2_pitch': 1.0, 'jump2_time': 0.22}",FAIL: NoTouch
0,0.0,250.0,0.15,-0.33333333333333337,0.33333333333333326,0.05,0.33333333333333326,0.02,,,
1,,,,,,,,,46.0,"{'minSpeed_action': 700, 'maxSpeed_action': 750, 'flick_time': 0.35, 'flick_pitch': -1.0, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.05, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.22}",FAIL: NoTouch
0,350.0,800.0,0.55,1.0,-0.33333333333333337,0.05,1.0,0.22,,,
1,,,,,,,,,47.0,"{'minSpeed_action': 0, 'maxSpeed_action': 250, 'flick_time': 0.15, 'flick_pitch': -0.33333333333333337, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.05, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.02}",FAIL: NoTouch
0,350.0,400.0,0.35,0.33333333333333326,0.33333333333333326,0.15000000000000002,-1.0,0.12000000000000001,,,
1,,,,,,,,,48.0,"{'minSpeed_action': 350, 'maxSpeed_action': 800, 'flick_time': 0.55, 'flick_pitch': 1.0, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.05, 'jump2_pitch': 1.0, 'jump2_time': 0.22}",FAIL: Timeout
0,350.0,800.0,0.15,-0.33333333333333337,-1.0,0.25,0.33333333333333326,0.12000000000000001,,,
1,,,,,,,,,49.0,"{'minSpeed_action': 350, 'maxSpeed_action': 400, 'flick_time': 0.35, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.15000000000000002, 'jump2_pitch': -1.0, 'jump2_time': 0.12000000000000001}",FAIL: NoTouch
0,0.0,50.0,0.55,1.0,1.0,0.05,-0.33333333333333337,0.22,,,
1,,,,,,,,,50.0,"{'minSpeed_action': 350, 'maxSpeed_action': 800, 'flick_time': 0.15, 'flick_pitch': -0.33333333333333337, 'jump1_pitch': -1.0, 'jump1_time': 0.25, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.12000000000000001}",FAIL: NoTouch
0,0.0,450.0,0.15,0.33333333333333326,-1.0,0.25,0.33333333333333326,0.02,,,
1,,,,,,,,,51.0,"{'minSpeed_action': 0, 'maxSpeed_action': 50, 'flick_time': 0.55, 'flick_pitch': 1.0, 'jump1_pitch': 1.0, 'jump1_time': 0.05, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.22}",FAIL: Timeout
0,700.0,950.0,0.35,-1.0,1.0,0.15000000000000002,-0.33333333333333337,0.22,,,
1,,,,,,,,,52.0,"{'minSpeed_action': 0, 'maxSpeed_action': 450, 'flick_time': 0.15, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': -1.0, 'jump1_time': 0.25, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.02}",FAIL: NoTouch
0,700.0,750.0,0.15,-0.33333333333333337,0.33333333333333326,0.05,-0.33333333333333337,0.12000000000000001,,,
1,,,,,,,,,53.0,"{'minSpeed_action': 700, 'maxSpeed_action': 950, 'flick_time': 0.35, 'flick_pitch': -1.0, 'jump1_pitch': 1.0, 'jump1_time': 0.15000000000000002, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.22}",FAIL: NoTouch
0,0.0,450.0,0.55,0.33333333333333326,0.33333333333333326,0.05,0.33333333333333326,0.02,,,
1,,,,,,,,,54.0,"{'minSpeed_action': 700, 'maxSpeed_action': 750, 'flick_time': 0.15, 'flick_pitch': -0.33333333333333337, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.05, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.12000000000000001}",FAIL: NoTouch
0,700.0,750.0,0.35,0.33333333333333326,-1.0,0.05,1.0,0.12000000000000001,,,
1,,,,,,,,,55.0,"{'minSpeed_action': 0, 'maxSpeed_action': 450, 'flick_time': 0.55, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.05, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.02}",FAIL: NoTouch
0,0.0,450.0,0.35,1.0,1.0,0.25,0.33333333333333326,0.22,,,
1,,,,,,,,,56.0,"{'minSpeed_action': 700, 'maxSpeed_action': 750, 'flick_time': 0.35, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': -1.0, 'jump1_time': 0.05, 'jump2_pitch': 1.0, 'jump2_time': 0.12000000000000001}",FAIL: NoTouch
0,350.0,600.0,0.15,1.0,-0.33333333333333337,0.15000000000000002,-1.0,0.12000000000000001,,,
1,,,,,,,,,57.0,"{'minSpeed_action': 0, 'maxSpeed_action': 450, 'flick_time': 0.35, 'flick_pitch': 1.0, 'jump1_pitch': 1.0, 'jump1_time': 0.25, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.22}",FAIL: Timeout
0,0.0,450.0,0.55,1.0,0.33333333333333326,0.05,-1.0,0.12000000000000001,,,
1,,,,,,,,,58.0,"{'minSpeed_action': 350, 'maxSpeed_action': 600, 'flick_time': 0.15, 'flick_pitch': 1.0, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.15000000000000002, 'jump2_pitch': -1.0, 'jump2_time': 0.12000000000000001}",FAIL: Timeout
0,350.0,600.0,0.35,0.33333333333333326,-0.33333333333333337,0.25,0.33333333333333326,0.02,,,
1,,,,,,,,,59.0,"{'minSpeed_action': 0, 'maxSpeed_action': 450, 'flick_time': 0.55, 'flick_pitch': 1.0, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.05, 'jump2_pitch': -1.0, 'jump2_time': 0.12000000000000001}",FAIL: Timeout
0,700.0,950.0,0.35,1.0,1.0,0.05,-0.33333333333333337,0.12000000000000001,,,
1,,,,,,,,,60.0,"{'minSpeed_action': 350, 'maxSpeed_action': 600, 'flick_time': 0.35, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.25, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.02}",FAIL: NoTouch
0,350.0,400.0,0.35,-1.0,-1.0,0.25,0.33333333333333326,0.12000000000000001,,,
1,,,,,,,,,61.0,"{'minSpeed_action': 700, 'maxSpeed_action': 950, 'flick_time': 0.35, 'flick_pitch': 1.0, 'jump1_pitch': 1.0, 'jump1_time': 0.05, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.12000000000000001}",FAIL: Timeout
0,350.0,600.0,0.55,-1.0,-0.33333333333333337,0.15000000000000002,0.33333333333333326,0.02,,,
1,,,,,,,,,62.0,"{'minSpeed_action': 350, 'maxSpeed_action': 400, 'flick_time': 0.35, 'flick_pitch': -1.0, 'jump1_pitch': -1.0, 'jump1_time': 0.25, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.12000000000000001}",FAIL: Timeout
0,350.0,600.0,0.35,0.33333333333333326,-0.33333333333333337,0.15000000000000002,1.0,0.02,,,
1,,,,,,,,,63.0,"{'minSpeed_action': 350, 'maxSpeed_action': 600, 'flick_time': 0.55, 'flick_pitch': -1.0, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.15000000000000002, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.02}",FAIL: NoTouch
0,350.0,800.0,0.15,0.33333333333333326,-0.33333333333333337,0.25,-1.0,0.22,,,
1,,,,,,,,,64.0,"{'minSpeed_action': 350, 'maxSpeed_action': 600, 'flick_time': 0.35, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.15000000000000002, 'jump2_pitch': 1.0, 'jump2_time': 0.02}",FAIL: Timeout
0,0.0,50.0,0.55,-1.0,-1.0,0.15000000000000002,0.33333333333333326,0.22,,,
1,,,,,,,,,65.0,"{'minSpeed_action': 350, 'maxSpeed_action': 800, 'flick_time': 0.15, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.25, 'jump2_pitch': -1.0, 'jump2_time': 0.22}",FAIL: NoTouch
0,700.0,750.0,0.15,-1.0,0.33333333333333326,0.15000000000000002,-1.0,0.12000000000000001,,,
1,,,,,,,,,66.0,"{'minSpeed_action': 0, 'maxSpeed_action': 50, 'flick_time': 0.55, 'flick_pitch': -1.0, 'jump1_pitch': -1.0, 'jump1_time': 0.15000000000000002, 'jump2_pitch': 0.33333333333333326, 'jump2_time': 0.22}",FAIL: Timeout
0,700.0,950.0,0.15,-1.0,-0.33333333333333337,0.15000000000000002,-0.33333333333333337,0.12000000000000001,,,
1,,,,,,,,,67.0,"{'minSpeed_action': 700, 'maxSpeed_action': 750, 'flick_time': 0.15, 'flick_pitch': -1.0, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.15000000000000002, 'jump2_pitch': -1.0, 'jump2_time': 0.12000000000000001}",FAIL: NoTouch
0,700.0,950.0,0.35,1.0,1.0,0.15000000000000002,1.0,0.02,,,
1,,,,,,,,,68.0,"{'minSpeed_action': 700, 'maxSpeed_action': 950, 'flick_time': 0.15, 'flick_pitch': -1.0, 'jump1_pitch': -0.33333333333333337, 'jump1_time': 0.15000000000000002, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.12000000000000001}",FAIL: NoTouch
0,700.0,750.0,0.55,0.33333333333333326,0.33333333333333326,0.25,-1.0,0.02,,,
1,,,,,,,,,69.0,"{'minSpeed_action': 700, 'maxSpeed_action': 950, 'flick_time': 0.35, 'flick_pitch': 1.0, 'jump1_pitch': 1.0, 'jump1_time': 0.15000000000000002, 'jump2_pitch': 1.0, 'jump2_time': 0.02}",FAIL: Timeout
